t level outflow out_valve setpoint in_valve error
33.413 0.474 0 0 0.5 0.6 0.026
33.5165 0.475 0 0 0.5 0.6 0.025
33.62 0.477 0 0 0.5 0.6 0.023
33.7439 0.478 0 0 0.5 0.6 0.022
33.8589 0.48 0 0 0.5 0.6 0.02
33.964 0.481 0 0 0.5 0.6 0.019
34.0725 0.483 0 0 0.5 0.6 0.017
34.1749 0.485 0 0 0.5 0.6 0.015
34.305 0.487 0 0 0.5 0.6 0.013
34.4149 0.488 0 0 0.5 0.6 0.012
34.518 0.49 0 0 0.5 0.6 0.01
34.6215 0.491 0 0 0.5 0.6 0.009
34.7374 0.493 0 0 0.5 0.6 0.007
34.847 0.495 0 0 0.5 0.6 0.005
34.9525 0.496 0 0 0.5 0.6 0.004
35.0611 0.498 0 0 0.5 0.6 0.002
35.166 0.499 0 0 0.5 0.6 0.001
35.279 0.501 0 0.013 0.5 0.6 -0.001
35.3925 0.503 0 0.0395 0.5 0.6 -0.003
35.4969 0.505 0.004 0.0666 0.5 0.6 -0.005
35.6 0.506 0.014 0.0814 0.5 0.6 -0.006
35.7529 0.508 0.035 0.1107 0.5 0.6 -0.008
35.866 0.51 0.051 0.1401 0.5 0.6 -0.01
35.9685 0.511 0.064 0.1567 0.5 0.6 -0.011
36.074 0.513 0.078 0.1866 0.5 0.6 -0.013
36.1755 0.514 0.094 0.2042 0.5 0.6 -0.014
36.2789 0.515 0.11 0.2221 0.5 0.6 -0.015
36.3921 0.516 0.133 0.2404 0.5 0.6 -0.016
36.4939 0.517 0.145 0.2597 0.5 0.6 -0.017
36.597 0.518 0.16 0.2787 0.5 0.6 -0.018
36.7005 0.519 0.172 0.2981 0.5 0.6 -0.019
36.8061 0.52 0.184 0.318 0.5 0.6 -0.02
36.9106 0.521 0.202 0.3381 0.5 0.6 -0.021
37.0131 0.522 0.214 0.3586 0.5 0.6 -0.022
37.1238 0.523 0.231 0.3793 0.5 0.6 -0.023
37.228 0.523 0.246 0.3881 0.5 0.6 -0.023
37.3318 0.524 0.261 0.4094 0.5 0.6 -0.024
37.4383 0.525 0.271 0.4311 0.5 0.6 -0.025
37.5424 0.525 0.285 0.4402 0.5 0.6 -0.025
37.6435 0.526 0.299 0.462 0.5 0.6 -0.026
37.7441 0.526 0.311 0.471 0.5 0.6 -0.026
37.8505 0.526 0.323 0.4801 0.5 0.6 -0.026
37.953 0.527 0.332 0.5027 0.5 0.6 -0.027
38.0585 0.527 0.339 0.5121 0.5 0.6 -0.027
38.1645 0.527 0.348 0.522 0.5 0.6 -0.027
38.271 0.528 0.364 0.5452 0.5 0.6 -0.028
38.3745 0.528 0.372 0.555 0.5 0.6 -0.028
38.481 0.528 0.383 0.5654 0.5 0.6 -0.028
38.5831 0.528 0.394 0.5752 0.5 0.6 -0.028
38.6875 0.529 0.401 0.5981 0.5 0.6 -0.029
38.7925 0.528 0.409 0.5956 0.5 0.6 -0.028
38.8965 0.529 0.422 0.6187 0.5 0.6 -0.029
38.9981 0.529 0.43 0.6289 0.5 0.6 -0.029
39.101 0.528 0.438 0.6262 0.5 0.6 -0.028
39.2081 0.528 0.447 0.6361 0.5 0.6 -0.028
39.3115 0.529 0.453 0.6594 0.5 0.6 -0.029
39.4146 0.528 0.457 0.6566 0.5 0.6 -0.028
39.5235 0.528 0.467 0.6673 0.5 0.6 -0.028
39.6651 0.528 0.474 0.6771 0.5 0.6 -0.028
39.7864 0.528 0.48 0.6911 0.5 0.6 -0.028
39.8998 0.528 0.488 0.7033 0.5 0.6 -0.028
40.0115 0.527 0.494 0.7005 0.5 0.6 -0.027
40.1131 0.527 0.501 0.7106 0.5 0.6 -0.027
40.2493 0.527 0.507 0.723 0.5 0.6 -0.027
40.3705 0.526 0.512 0.721 0.5 0.6 -0.026
40.4745 0.526 0.518 0.7308 0.5 0.6 -0.026
40.5771 0.526 0.521 0.7399 0.5 0.6 -0.026
40.6811 0.525 0.523 0.7363 0.5 0.6 -0.025
40.7935 0.525 0.528 0.7449 0.5 0.6 -0.025
40.9095 0.525 0.532 0.7557 0.5 0.6 -0.025
41.0145 0.524 0.536 0.7516 0.5 0.6 -0.024
41.1196 0.523 0.54 0.7474 0.5 0.6 -0.023
41.2291 0.523 0.543 0.7562 0.5 0.6 -0.023
41.3611 0.523 0.541 0.7652 0.5 0.6 -0.023
41.4621 0.522 0.542 0.7616 0.5 0.6 -0.022
41.5641 0.522 0.547 0.7692 0.5 0.6 -0.022
41.6761 0.521 0.549 0.7646 0.5 0.6 -0.021
41.7812 0.521 0.551 0.7721 0.5 0.6 -0.021
41.8965 0.52 0.552 0.7668 0.5 0.6 -0.02
42.0022 0.52 0.553 0.7747 0.5 0.6 -0.02
42.1105 0.519 0.554 0.7691 0.5 0.6 -0.019
42.2152 0.519 0.555 0.776 0.5 0.6 -0.019
42.3241 0.518 0.555 0.7702 0.5 0.6 -0.018
42.4301 0.518 0.555 0.7766 0.5 0.6 -0.018
42.5533 0.517 0.556 0.7709 0.5 0.6 -0.017
42.659 0.517 0.556 0.7775 0.5 0.6 -0.017
42.7617 0.516 0.555 0.7705 0.5 0.6 -0.016
42.8881 0.515 0.555 0.7641 0.5 0.6 -0.015
42.9916 0.515 0.554 0.7697 0.5 0.6 -0.015
43.1093 0.514 0.551 0.7628 0.5 0.6 -0.014
43.2124 0.514 0.55 0.7677 0.5 0.6 -0.014
43.3186 0.514 0.548 0.7727 0.5 0.6 -0.014
43.4246 0.513 0.548 0.7648 0.5 0.6 -0.013
43.544 0.512 0.55 0.7571 0.5 0.6 -0.012
43.6501 0.512 0.549 0.7616 0.5 0.6 -0.012
43.7616 0.512 0.545 0.7658 0.5 0.6 -0.012
43.8722 0.511 0.544 0.7575 0.5 0.6 -0.011
43.9811 0.511 0.545 0.7616 0.5 0.6 -0.011
44.0951 0.51 0.544 0.753 0.5 0.6 -0.01
44.2143 0.51 0.543 0.7566 0.5 0.6 -0.01
44.3456 0.509 0.541 0.7478 0.5 0.6 -0.009
44.4491 0.509 0.539 0.7517 0.5 0.6 -0.009
44.5566 0.508 0.536 0.742 0.5 0.6 -0.008
44.6596 0.508 0.535 0.7449 0.5 0.6 -0.008
44.7627 0.508 0.533 0.7477 0.5 0.6 -0.008
44.8756 0.507 0.53 0.7375 0.5 0.6 -0.007
44.9863 0.507 0.53 0.7403 0.5 0.6 -0.007
45.095 0.506 0.528 0.7299 0.5 0.6 -0.006
45.1996 0.506 0.526 0.7321 0.5 0.6 -0.006
45.3281 0.505 0.523 0.7213 0.5 0.6 -0.005
45.4361 0.505 0.52 0.7236 0.5 0.6 -0.005
45.5572 0.505 0.516 0.7254 0.5 0.6 -0.005
45.6733 0.504 0.514 0.7144 0.5 0.6 -0.004
45.8001 0.504 0.513 0.7161 0.5 0.6 -0.004
45.9012 0.503 0.51 0.7047 0.5 0.6 -0.003
46.0098 0.503 0.508 0.7058 0.5 0.6 -0.003
46.1125 0.503 0.503 0.7068 0.5 0.6 -0.003
46.2142 0.503 0.5 0.7079 0.5 0.6 -0.003
46.3202 0.502 0.5 0.6959 0.5 0.6 -0.002
46.4231 0.502 0.5 0.6967 0.5 0.6 -0.002
46.5262 0.502 0.498 0.6974 0.5 0.6 -0.002
46.6302 0.502 0.494 0.6981 0.5 0.6 -0.002
46.7331 0.501 0.493 0.6858 0.5 0.6 -0.001
46.841 0.501 0.493 0.6862 0.5 0.6 -0.001
46.9427 0.501 0.49 0.6865 0.5 0.6 -0.001
47.0453 0.5 0.486 0.6739 0.5 0.6 0
47.151 0.5 0.485 0.6739 0.5 0.6 0
47.2602 0.5 0.481 0.6739 0.5 0.6 0
47.3622 0.5 0.477 0.6739 0.5 0.6 0
47.4646 0.499 0.476 0.6609 0.5 0.6 0.001
47.5703 0.499 0.475 0.6605 0.5 0.6 0.001
47.6752 0.499 0.472 0.6602 0.5 0.6 0.001
47.7791 0.499 0.467 0.6598 0.5 0.6 0.001
47.8827 0.499 0.466 0.6594 0.5 0.6 0.001
47.9862 0.499 0.466 0.6591 0.5 0.6 0.001
48.0922 0.498 0.465 0.6457 0.5 0.6 0.002
48.1946 0.498 0.465 0.645 0.5 0.6 0.002
48.3036 0.498 0.462 0.6443 0.5 0.6 0.002
48.4062 0.498 0.457 0.6435 0.5 0.6 0.002
48.5131 0.498 0.455 0.6428 0.5 0.6 0.002
48.6162 0.498 0.454 0.6421 0.5 0.6 0.002
48.7233 0.498 0.453 0.6414 0.5 0.6 0.002
48.8304 0.498 0.453 0.6406 0.5 0.6 0.002
48.9331 0.498 0.452 0.6399 0.5 0.6 0.002
49.0392 0.498 0.452 0.6392 0.5 0.6 0.002
49.1431 0.497 0.451 0.6255 0.5 0.6 0.003
49.2509 0.497 0.45 0.6244 0.5 0.6 0.003
49.3527 0.497 0.447 0.6233 0.5 0.6 0.003
49.4584 0.497 0.443 0.6222 0.5 0.6 0.003
49.5657 0.497 0.44 0.6211 0.5 0.6 0.003
49.6667 0.497 0.439 0.6201 0.5 0.6 0.003
49.7708 0.497 0.438 0.619 0.5 0.6 0.003
49.8751 0.497 0.437 0.6179 0.5 0.6 0.003
49.9772 0.497 0.436 0.6168 0.5 0.6 0.003
50.0806 0.497 0.435 0.6158 0.5 0.6 0.003
50.1899 0.497 0.434 0.6147 0.5 0.6 0.003
50.2933 0.496 0.434 0.6006 0.5 0.6 0.004
50.3963 0.497 0.433 0.6122 0.5 0.6 0.003
50.5043 0.497 0.432 0.6111 0.5 0.6 0.003
50.6167 0.496 0.428 0.5968 0.5 0.6 0.004
50.7222 0.496 0.43 0.5955 0.5 0.6 0.004
50.8242 0.496 0.428 0.594 0.5 0.6 0.004
50.9312 0.496 0.423 0.5926 0.5 0.6 0.004
51.0337 0.496 0.419 0.5911 0.5 0.6 0.004
51.1397 0.496 0.418 0.5897 0.5 0.6 0.004
51.2453 0.496 0.417 0.5882 0.5 0.6 0.004
51.3513 0.496 0.416 0.5867 0.5 0.6 0.004
51.4613 0.497 0.415 0.5983 0.5 0.6 0.003
51.5667 0.497 0.414 0.5972 0.5 0.6 0.003
51.6757 0.496 0.416 0.5831 0.5 0.6 0.004
51.7779 0.497 0.419 0.5946 0.5 0.6 0.003
51.8852 0.497 0.418 0.5935 0.5 0.6 0.003
51.9898 0.497 0.415 0.5925 0.5 0.6 0.003
52.0943 0.497 0.417 0.5914 0.5 0.6 0.003
52.1968 0.497 0.417 0.5903 0.5 0.6 0.003
52.3003 0.497 0.417 0.5892 0.5 0.6 0.003
52.4057 0.497 0.416 0.5882 0.5 0.6 0.003
52.5128 0.497 0.416 0.5871 0.5 0.6 0.003
52.6188 0.497 0.415 0.586 0.5 0.6 0.003
52.7259 0.497 0.414 0.5849 0.5 0.6 0.003
52.8403 0.497 0.413 0.5838 0.5 0.6 0.003
52.9489 0.497 0.412 0.5826 0.5 0.6 0.003
53.0532 0.497 0.411 0.5815 0.5 0.6 0.003
53.1567 0.497 0.411 0.5804 0.5 0.6 0.003
53.2612 0.497 0.41 0.5793 0.5 0.6 0.003
53.367 0.497 0.409 0.5782 0.5 0.6 0.003
53.4718 0.497 0.409 0.5771 0.5 0.6 0.003
53.5778 0.497 0.408 0.576 0.5 0.6 0.003
53.682 0.497 0.407 0.575 0.5 0.6 0.003
53.7877 0.497 0.407 0.5739 0.5 0.6 0.003
53.9012 0.497 0.406 0.5728 0.5 0.6 0.003
54.0058 0.497 0.405 0.5716 0.5 0.6 0.003
54.1113 0.497 0.404 0.5705 0.5 0.6 0.003
54.2392 0.497 0.403 0.5692 0.5 0.6 0.003
54.3453 0.498 0.402 0.5812 0.5 0.6 0.002
54.492 0.498 0.402 0.5804 0.5 0.6 0.002
54.5972 0.498 0.406 0.5794 0.5 0.6 0.002
54.6993 0.498 0.408 0.5787 0.5 0.6 0.002
54.8033 0.498 0.409 0.578 0.5 0.6 0.002
54.9096 0.498 0.408 0.5773 0.5 0.6 0.002
55.0113 0.498 0.408 0.5766 0.5 0.6 0.002
55.1195 0.498 0.407 0.5758 0.5 0.6 0.002
55.2278 0.498 0.407 0.5751 0.5 0.6 0.002
55.3328 0.498 0.406 0.5744 0.5 0.6 0.002
55.4384 0.498 0.406 0.5736 0.5 0.6 0.002
55.5418 0.498 0.405 0.5729 0.5 0.6 0.002
55.6446 0.498 0.405 0.5722 0.5 0.6 0.002
55.7493 0.498 0.404 0.5715 0.5 0.6 0.002
55.8507 0.498 0.404 0.5708 0.5 0.6 0.002
55.9532 0.499 0.403 0.5831 0.5 0.6 0.001
56.0558 0.499 0.403 0.5827 0.5 0.6 0.001
56.1603 0.499 0.404 0.5824 0.5 0.6 0.001
